invoice_no,ref_po_id,taxable_value,cgst_amt,sgst_amt,round_off,invoice_total,due_date,hsn_code
INV-MD-55030,PO-2026-8030,42000.0,5880.0,5880.0,0.0,53760.0,2026-04-04,8415
INV-MD-55031,PO-2026-8031,45000.0,4050.0,4050.0,0.0,53100.0,2026-04-05,8471
INV-MD-55032,PO-2026-8032,170000.0,15300.0,15300.0,0.1,200600.1,2026-04-06,8471
INV-MD-55033,PO-2026-8033,72000.0,6480.0,6480.0,0.2,84960.2,2026-04-07,8517
INV-MD-55034,PO-2026-8034,59500.0,5355.0,5355.0,-0.1,70209.9,2026-04-08,8471
INV-MD-55035,PO-2026-8035,70000.0,6300.0,6300.0,-0.2,82599.8,2026-04-09,9403
INV-MD-55036,PO-2026-8036,50000.0,4500.0,4500.0,0.3,59000.3,2026-04-10,9403
INV-MD-55037,PO-2026-8037,48000.0,4320.0,4320.0,-0.3,56639.7,2026-04-11,9403
INV-MD-55038,PO-2026-8038,10350.0,621.0,621.0,0.0,11592.0,2026-04-12,4820
INV-MD-55039,PO-2026-8039,7700.0,462.0,462.0,0.0,8624.0,2026-04-13,4820
INV-MD-55040,PO-2026-8040,84000.0,11760.0,11760.0,0.0,107520.0,2026-04-14,8415
INV-MD-55041,PO-2026-8041,45000.0,4050.0,4050.0,0.0,53100.0,2026-04-15,8471
INV-MD-55042,PO-2026-8042,170000.0,15300.0,15300.0,0.1,200600.1,2026-04-16,8471
INV-MD-55043,PO-2026-8043,144000.0,12960.0,12960.0,0.2,169920.2,2026-04-17,8517
INV-MD-55044,PO-2026-8044,68000.0,6120.0,6120.0,-0.1,80239.9,2026-04-18,8471
INV-MD-55045,PO-2026-8045,105000.0,9450.0,9450.0,-0.2,123899.8,2026-04-19,9403
INV-MD-55046,PO-2026-8046,25000.0,2250.0,2250.0,0.3,29500.3,2026-04-20,9403
INV-MD-55047,PO-2026-8047,60000.0,5400.0,5400.0,-0.3,70799.7,2026-04-21,9403
INV-MD-55048,PO-2026-8048,16650.0,999.0,999.0,0.0,18648.0,2026-04-22,4820
INV-MD-55049,PO-2026-8049,8050.0,483.0,483.0,0.0,9016.0,2026-04-23,4820
INV-MD-55050,PO-2026-8050,84000.0,11760.0,11760.0,0.0,107520.0,2026-04-24,8415
INV-MD-55051,PO-2026-8051,45000.0,4050.0,4050.0,0.0,53100.0,2026-03-31,8471
INV-MD-55052,PO-2026-8052,170000.0,15300.0,15300.0,0.1,200600.1,2026-04-01,8471
INV-MD-55053,PO-2026-8053,144000.0,12960.0,12960.0,0.2,169920.2,2026-04-02,8517
INV-MD-55054,PO-2026-8054,68000.0,6120.0,6120.0,-0.1,80239.9,2026-04-03,8471
INV-MD-55055,PO-2026-8055,70000.0,6300.0,6300.0,-0.2,82599.8,2026-04-04,9403
INV-MD-55056,PO-2026-8056,25000.0,2250.0,2250.0,0.3,29500.3,2026-04-05,9403
INV-MD-55057,PO-2026-8057,24000.0,2160.0,2160.0,-0.3,28319.7,2026-04-06,9403
INV-MD-55058,PO-2026-8058,18450.0,1107.0,1107.0,0.0,20664.0,2026-04-07,4820
INV-MD-55059,PO-2026-8059,9450.0,567.0,567.0,0.0,10584.0,2026-04-08,4820
INV-MD-55060,PO-2026-8060,84000.0,11760.0,11760.0,0.0,107520.0,2026-04-09,8415
INV-MD-55061,PO-2026-8061,45000.0,4050.0,4050.0,0.0,53100.0,2026-04-10,8471
INV-MD-55062,PO-2026-8062,85000.0,7650.0,7650.0,0.1,100300.1,2026-04-11,8471
INV-MD-55063,PO-2026-8063,144000.0,12960.0,12960.0,0.2,169920.2,2026-04-12,8517
INV-MD-55064,PO-2026-8064,34000.0,3060.0,3060.0,-0.1,40119.9,2026-04-13,8471
INV-MD-55065,PO-2026-8065,140000.0,12600.0,12600.0,-0.2,165199.8,2026-04-14,9403
INV-MD-55066,PO-2026-8066,75000.0,6750.0,6750.0,0.3,88500.3,2026-04-15,9403
INV-MD-55067,PO-2026-8067,60000.0,5400.0,5400.0,-0.3,70799.7,2026-04-16,9403
INV-MD-55068,PO-2026-8068,18000.0,1080.0,1080.0,0.0,20160.0,2026-04-17,4820
INV-MD-55069,PO-2026-8069,16100.0,966.0,966.0,0.0,18032.0,2026-04-18,4820
INV-MD-55070,PO-2026-8070,84000.0,11760.0,11760.0,0.0,107520.0,2026-04-19,8415
INV-MD-55071,PO-2026-8071,45000.0,4050.0,4050.0,0.0,53100.0,2026-04-20,8471
INV-MD-55072,PO-2026-8072,170000.0,15300.0,15300.0,0.1,200600.1,2026-04-21,8471
INV-MD-55073,PO-2026-8073,72000.0,6480.0,6480.0,0.2,84960.2,2026-04-22,8517
INV-MD-55074,PO-2026-8074,51000.0,4590.0,4590.0,-0.1,60179.9,2026-04-23,8471
INV-MD-55075,PO-2026-8075,105000.0,9450.0,9450.0,-0.2,123899.8,2026-04-24,9403
INV-MD-55076,PO-2026-8076,25000.0,2250.0,2250.0,0.3,29500.3,2026-03-31,9403
INV-MD-55077,PO-2026-8077,72000.0,6480.0,6480.0,-0.3,84959.7,2026-04-01,9403
INV-MD-55078,PO-2026-8078,18000.0,1080.0,1080.0,0.0,20160.0,2026-04-02,4820
INV-MD-55079,PO-2026-8079,8750.0,525.0,525.0,0.0,9800.0,2026-04-03,4820
INV-MD-55080,PO-2026-8080,42000.0,5880.0,5880.0,0.0,53760.0,2026-04-04,8415
INV-MD-55081,PO-2026-8081,45000.0,4050.0,4050.0,0.0,53100.0,2026-04-05,8471
INV-MD-55082,PO-2026-8082,170000.0,15300.0,15300.0,0.1,200600.1,2026-04-06,8471
INV-MD-55083,PO-2026-8083,90000.0,8100.0,8100.0,0.2,106200.2,2026-04-07,8517
INV-MD-55084,PO-2026-8084,59500.0,5355.0,5355.0,-0.1,70209.9,2026-04-08,8471
INV-MD-55085,PO-2026-8085,70000.0,6300.0,6300.0,-0.2,82599.8,2026-04-09,9403
INV-MD-55086,PO-2026-8086,75000.0,6750.0,6750.0,0.3,88500.3,2026-04-10,9403
INV-MD-55087,PO-2026-8087,24000.0,2160.0,2160.0,-0.3,28319.7,2026-04-11,9403
INV-MD-55088,PO-2026-8088,12150.0,729.0,729.0,0.0,13608.0,2026-04-12,4820
INV-MD-55089,PO-2026-8089,16100.0,966.0,966.0,0.0,18032.0,2026-04-13,4820
INV-MD-55090,PO-2026-8090,42000.0,5880.0,5880.0,0.0,53760.0,2026-04-14,8415
INV-MD-55091,PO-2026-809I,90000.0,8100.0,8100.0,0.0,106200.0,2026-04-15,8471
INV-MD-55092,PO-2026-809I,170000.0,15300.0,15300.0,0.1,200600.1,2026-04-16,8471
INV-MD-55093,PO-2026-809I,72000.0,6480.0,6480.0,0.2,84960.2,2026-04-17,8517
INV-MD-55094,PO-2026-809I,34000.0,3060.0,3060.0,-0.1,40119.9,2026-04-18,8471
INV-MD-55095,PO-2026-809I,70000.0,6300.0,6300.0,-0.2,82599.8,2026-04-19,9403
INV-MD-55096,PO-2026-8096,75000.0,6750.0,6750.0,0.3,88500.3,2026-04-20,9403
INV-MD-55097,PO-2026-8007,48000.0,4320.0,4320.0,-0.3,56639.7,2026-04-21,9403
INV-MD-55098,PO-2026-8008,20700.0,1242.0,1242.0,0.0,23184.0,2026-04-22,4820
INV-MD-55099,PO-2026-8009,8750.0,525.0,525.0,0.0,9800.0,2026-04-23,4820
INV-MD-55100,PO-2026-8010,126000.0,17640.0,17640.0,0.0,161280.0,2026-04-24,8415
