rzp_txn_id,linked_invoice,financing_type,principal_amt,platform_fee_pct,platform_fee_amt,tds_deducted,net_payout_supplier,settlement_utr,payout_bank,status,created_at
txn_RzX_99015,INV-MD-55015,CREDIT_LINE,41299.8,0.015,619.5,413.0,40267.3,UTR-HDFC-8835,HDFC,FAILED,2026-03-16 17:45:00
txn_RzX_99016,INV-MD-55016,INSTANT_PAY,59000.3,0.025,1475.01,590.0,56935.29,UTR-ICICI-7726,ICICI,SETTLED,2026-03-17 10:52:00
txn_RzX_99017,INV-MD-55017,INSTANT_PAY,42479.7,0.025,1061.99,424.8,40992.91,UTR-HDFC-8837,HDFC,SETTLED,2026-03-18 11:59:00
txn_RzX_99018,INV-MD-55018,CREDIT_LINE,18144.0,0.025,453.6,181.44,17508.96,UTR-ICICI-7728,ICICI,SETTLED,2026-03-19 12:06:00
txn_RzX_99019,INV-MD-55019,INSTANT_PAY,15288.0,0.025,382.2,152.88,14752.92,UTR-HDFC-8839,HDFC,SETTLED,2026-03-20 13:13:00
txn_RzX_99020,INV-MD-55020,INSTANT_PAY,53760.0,0.025,1344.0,537.6,51878.4,UTR-ICICI-7730,ICICI,SETTLED,2026-03-21 14:20:00
txn_RzX_99021,INV-MD-55021,CREDIT_LINE,159300.0,0.015,2389.5,1593.0,155317.5,UTR-HDFC-8841,HDFC,SETTLED,2026-03-22 15:27:00
txn_RzX_99022,INV-MD-55022,INSTANT_PAY,100300.1,0.015,1504.5,1003.0,97792.6,UTR-ICICI-7732,ICICI,SETTLED,2026-03-23 16:34:00
txn_RzX_99023,INV-MD-55023,INSTANT_PAY,148680.2,0.015,2230.2,1486.8,144963.2,UTR-HDFC-8843,HDFC,SETTLED,2026-03-24 17:41:00
txn_RzX_99024,INV-MD-55024,CREDIT_LINE,90269.9,0.015,1354.05,902.7,88013.15,UTR-ICICI-7734,ICICI,SETTLED,2026-03-25 10:48:00
txn_RzX_99025,INV-MD-55025,INSTANT_PAY,82599.8,0.015,1239.0,826.0,80534.8,UTR-HDFC-8845,HDFC,SETTLED,2026-03-26 11:55:00
txn_RzX_99026,INV-MD-55026,INSTANT_PAY,118000.3,0.015,1770.0,1180.0,115050.3,UTR-ICICI-7736,ICICI,SETTLED,2026-03-02 12:02:00
txn_RzX_99027,INV-MD-55027,CREDIT_LINE,84959.7,0.015,1274.4,849.6,82835.7,UTR-HDFC-8847,HDFC,SETTLED,2026-03-03 13:09:00
txn_RzX_99028,INV-MD-55028,INSTANT_PAY,14112.0,0.015,211.68,141.12,13759.2,UTR-ICICI-7738,ICICI,SETTLED,2026-03-04 14:16:00
txn_RzX_99029,INV-MD-55029,INSTANT_PAY,17640.0,0.015,264.6,176.4,17199.0,UTR-HDFC-8849,HDFC,SETTLED,2026-03-05 15:23:00
txn_RzX_99030,INV-MD-55030,CREDIT_LINE,53760.0,0.015,806.4,537.6,52416.0,UTR-ICICI-7740,ICICI,SETTLED,2026-03-06 16:30:00
txn_RzX_99031,INV-MD-55031,INSTANT_PAY,53100.0,0.015,796.5,531.0,51772.5,UTR-HDFC-8851,HDFC,SETTLED,2026-03-07 17:37:00
txn_RzX_99032,INV-MD-55032,INSTANT_PAY,200600.1,0.015,3009.0,2006.0,195585.1,UTR-ICICI-7742,ICICI,SETTLED,2026-03-08 10:44:00
txn_RzX_99033,INV-MD-55033,CREDIT_LINE,84960.2,0.015,1274.4,849.6,82836.2,UTR-HDFC-8853,HDFC,SETTLED,2026-03-09 11:51:00
txn_RzX_99034,INV-MD-55034,INSTANT_PAY,70209.9,0.015,1053.15,702.1,68454.65,UTR-ICICI-7744,ICICI,SETTLED,2026-03-10 12:58:00
txn_RzX_99035,INV-MD-55035,INSTANT_PAY,82599.8,0.015,1239.0,826.0,80534.8,UTR-HDFC-8855,HDFC,SETTLED,2026-03-11 13:05:00
txn_RzX_99036,INV-MD-55036,CREDIT_LINE,59000.3,0.015,885.0,590.0,57525.3,UTR-ICICI-7746,ICICI,SETTLED,2026-03-12 14:12:00
txn_RzX_99037,INV-MD-55037,INSTANT_PAY,56639.7,0.015,849.6,566.4,55223.7,UTR-HDFC-8857,HDFC,SETTLED,2026-03-13 15:19:00
txn_RzX_99038,INV-MD-55038,INSTANT_PAY,11592.0,0.015,173.88,115.92,11302.2,UTR-ICICI-7748,ICICI,SETTLED,2026-03-14 16:26:00
txn_RzX_99039,INV-MD-55039,CREDIT_LINE,8624.0,0.015,129.36,86.24,8408.4,UTR-HDFC-8859,HDFC,SETTLED,2026-03-15 17:33:00
txn_RzX_99040,INV-MD-55040,INSTANT_PAY,107520.0,0.015,1612.8,1075.2,104832.0,UTR-ICICI-7750,ICICI,SETTLED,2026-03-16 10:40:00
txn_RzX_99041,INV-MD-55041,INSTANT_PAY,53100.0,0.015,796.5,531.0,51772.5,UTR-HDFC-8861,HDFC,SETTLED,2026-03-17 11:47:00
txn_RzX_99042,INV-MD-55042,CREDIT_LINE,200600.1,0.015,3009.0,2006.0,195585.1,UTR-ICICI-7752,ICICI,SETTLED,2026-03-18 12:54:00
txn_RzX_99043,INV-MD-55043,INSTANT_PAY,169920.2,0.015,2548.8,1699.2,165672.2,UTR-HDFC-8863,HDFC,SETTLED,2026-03-19 13:01:00
txn_RzX_99044,INV-MD-55044,INSTANT_PAY,80239.9,0.015,1203.6,802.4,78233.9,UTR-ICICI-7754,ICICI,SETTLED,2026-03-20 14:08:00
txn_RzX_99045,INV-MD-55045,CREDIT_LINE,123899.8,0.015,1858.5,1239.0,120802.3,UTR-HDFC-8865,HDFC,SETTLED,2026-03-21 15:15:00
txn_RzX_99046,INV-MD-55046,INSTANT_PAY,29500.3,0.015,442.5,295.0,28762.8,UTR-ICICI-7756,ICICI,SETTLED,2026-03-22 16:22:00
txn_RzX_99047,INV-MD-55047,INSTANT_PAY,70799.7,0.015,1062.0,708.0,69029.7,UTR-HDFC-8867,HDFC,SETTLED,2026-03-23 17:29:00
txn_RzX_99048,INV-MD-55048,CREDIT_LINE,18648.0,0.015,279.72,186.48,18181.8,UTR-ICICI-7758,ICICI,SETTLED,2026-03-24 10:36:00
txn_RzX_99049,INV-MD-55049,INSTANT_PAY,9016.0,0.015,135.24,90.16,8790.6,UTR-HDFC-8869,HDFC,SETTLED,2026-03-25 11:43:00
txn_RzX_99050,INV-MD-55050,INSTANT_PAY,107520.0,0.015,1612.8,1075.2,104832.0,UTR-ICICI-7760,ICICI,SETTLED,2026-03-26 12:50:00
txn_RzX_99051,INV-MD-55051,CREDIT_LINE,53100.0,0.015,796.5,531.0,51772.5,UTR-HDFC-8871,HDFC,SETTLED,2026-03-02 13:57:00
txn_RzX_99052,INV-MD-55052,INSTANT_PAY,200600.1,0.015,3009.0,2006.0,195585.1,UTR-ICICI-7762,ICICI,SETTLED,2026-03-03 14:04:00
txn_RzX_99053,INV-MD-55053,INSTANT_PAY,169920.2,0.015,2548.8,1699.2,165672.2,UTR-HDFC-8873,HDFC,SETTLED,2026-03-04 15:11:00
txn_RzX_99054,INV-MD-55054,CREDIT_LINE,80239.9,0.015,1203.6,802.4,78233.9,UTR-ICICI-7764,ICICI,SETTLED,2026-03-05 16:18:00
txn_RzX_99055,INV-MD-55055,INSTANT_PAY,82599.8,0.015,1239.0,826.0,80534.8,UTR-HDFC-8875,HDFC,SETTLED,2026-03-06 17:25:00
txn_RzX_99056,INV-MD-55056,INSTANT_PAY,29500.3,0.015,442.5,295.0,28762.8,UTR-ICICI-7766,ICICI,SETTLED,2026-03-07 10:32:00
txn_RzX_99057,INV-MD-55057,CREDIT_LINE,28319.7,0.015,424.8,283.2,27611.7,UTR-HDFC-8877,HDFC,SETTLED,2026-03-08 11:39:00
txn_RzX_99058,INV-MD-55058,INSTANT_PAY,20664.0,0.015,309.96,206.64,20147.4,UTR-ICICI-7768,ICICI,SETTLED,2026-03-09 12:46:00
txn_RzX_99059,INV-MD-55059,INSTANT_PAY,10584.0,0.015,158.76,105.84,10319.4,UTR-HDFC-8879,HDFC,SETTLED,2026-03-10 13:53:00
txn_RzX_99060,INV-MD-55060,CREDIT_LINE,107520.0,0.015,1612.8,1075.2,104832.0,UTR-ICICI-7770,ICICI,SETTLED,2026-03-11 14:00:00
txn_RzX_99061,INV-MD-55061,INSTANT_PAY,53100.0,0.015,796.5,531.0,51772.5,UTR-HDFC-8881,HDFC,SETTLED,2026-03-12 15:07:00
txn_RzX_99062,INV-MD-55062,INSTANT_PAY,100300.1,0.015,1504.5,1003.0,97792.6,UTR-ICICI-7772,ICICI,SETTLED,2026-03-13 16:14:00
txn_RzX_99063,INV-MD-55063,CREDIT_LINE,169920.2,0.015,2548.8,1699.2,165672.2,UTR-HDFC-8883,HDFC,SETTLED,2026-03-14 17:21:00
txn_RzX_99064,INV-MD-55064,INSTANT_PAY,40119.9,0.015,601.8,401.2,39116.9,UTR-ICICI-7774,ICICI,SETTLED,2026-03-15 10:28:00
txn_RzX_99065,INV-MD-55065,INSTANT_PAY,165199.8,0.015,2478.0,1652.0,161069.8,UTR-HDFC-8885,HDFC,SETTLED,2026-03-16 11:35:00
txn_RzX_99066,INV-MD-55066,CREDIT_LINE,88500.3,0.015,1327.5,885.0,86287.8,UTR-ICICI-7776,ICICI,SETTLED,2026-03-17 12:42:00
txn_RzX_99067,INV-MD-55067,INSTANT_PAY,70799.7,0.015,1062.0,708.0,69029.7,UTR-HDFC-8887,HDFC,SETTLED,2026-03-18 13:49:00
txn_RzX_99068,INV-MD-55068,INSTANT_PAY,20160.0,0.015,302.4,201.6,19656.0,UTR-ICICI-7778,ICICI,SETTLED,2026-03-19 14:56:00
txn_RzX_99069,INV-MD-55069,CREDIT_LINE,18032.0,0.015,270.48,180.32,17581.2,UTR-HDFC-8889,HDFC,SETTLED,2026-03-20 15:03:00
txn_RzX_99070,INV-MD-55070,INSTANT_PAY,107520.0,0.015,1612.8,1075.2,104832.0,UTR-ICICI-7780,ICICI,SETTLED,2026-03-21 16:10:00
txn_RzX_99071,INV-MD-55071,INSTANT_PAY,53100.0,0.015,796.5,531.0,51772.5,UTR-HDFC-8891,HDFC,SETTLED,2026-03-22 17:17:00
txn_RzX_99072,INV-MD-55072,CREDIT_LINE,200600.1,0.015,3009.0,2006.0,195585.1,UTR-ICICI-7782,ICICI,SETTLED,2026-03-23 10:24:00
txn_RzX_99073,INV-MD-55073,INSTANT_PAY,84960.2,0.015,1274.4,849.6,82836.2,UTR-HDFC-8893,HDFC,SETTLED,2026-03-24 11:31:00
txn_RzX_99074,INV-MD-55074,INSTANT_PAY,60179.9,0.015,902.7,601.8,58675.4,UTR-ICICI-7784,ICICI,SETTLED,2026-03-25 12:38:00
txn_RzX_99075,INV-MD-55075,CREDIT_LINE,123899.8,0.015,1858.5,1239.0,120802.3,UTR-HDFC-8895,HDFC,SETTLED,2026-03-26 13:45:00
txn_RzX_99076,INV-MD-55076,INSTANT_PAY,29500.3,0.015,442.5,295.0,28762.8,UTR-ICICI-7786,ICICI,SETTLED,2026-03-02 14:52:00
txn_RzX_99077,INV-MD-55077,INSTANT_PAY,84959.7,0.015,1274.4,849.6,82835.7,UTR-HDFC-8897,HDFC,SETTLED,2026-03-03 15:59:00
txn_RzX_99078,INV-MD-55078,CREDIT_LINE,20160.0,0.015,302.4,201.6,19656.0,UTR-ICICI-7788,ICICI,SETTLED,2026-03-04 16:06:00
txn_RzX_99079,INV-MD-55079,INSTANT_PAY,9800.0,0.015,147.0,98.0,9555.0,UTR-HDFC-8899,HDFC,SETTLED,2026-03-05 17:13:00
txn_RzX_99080,INV-MD-55080,INSTANT_PAY,53760.0,0.015,806.4,537.6,52416.0,UTR-ICICI-7790,ICICI,SETTLED,2026-03-06 10:20:00
txn_RzX_99081,INV-MD-55081,CREDIT_LINE,53100.0,0.015,796.5,531.0,51772.5,UTR-HDFC-8901,HDFC,SETTLED,2026-03-07 11:27:00
txn_RzX_99082,INV-MD-55082,INSTANT_PAY,200600.1,0.015,3009.0,2006.0,195585.1,UTR-ICICI-7792,ICICI,SETTLED,2026-03-08 12:34:00
txn_RzX_99083,INV-MD-55083,INSTANT_PAY,106200.2,0.015,1593.0,1062.0,103545.2,UTR-HDFC-8903,HDFC,SETTLED,2026-03-09 13:41:00
txn_RzX_99084,INV-MD-55084,CREDIT_LINE,70209.9,0.015,1053.15,702.1,68454.65,UTR-ICICI-7794,ICICI,SETTLED,2026-03-10 14:48:00
txn_RzX_99085,INV-MD-55085,INSTANT_PAY,82599.8,0.015,1239.0,826.0,80534.8,UTR-HDFC-8905,HDFC,SETTLED,2026-03-11 15:55:00
txn_RzX_99086,INV-MD-55086,INSTANT_PAY,88500.3,0.015,1327.5,885.0,86287.8,UTR-ICICI-7796,ICICI,SETTLED,2026-03-12 16:02:00
txn_RzX_99087,INV-MD-55087,CREDIT_LINE,28319.7,0.015,424.8,283.2,27611.7,UTR-HDFC-8907,HDFC,SETTLED,2026-03-13 17:09:00
txn_RzX_99088,INV-MD-55088,INSTANT_PAY,13608.0,0.015,204.12,136.08,13267.8,UTR-ICICI-7798,ICICI,SETTLED,2026-03-14 10:16:00
txn_RzX_99089,INV-MD-55089,INSTANT_PAY,18032.0,0.015,270.48,180.32,17581.2,UTR-HDFC-8909,HDFC,SETTLED,2026-03-15 11:23:00
txn_RzX_99090,INV-MD-55090,CREDIT_LINE,53760.0,0.015,806.4,537.6,52416.0,UTR-ICICI-7800,ICICI,SETTLED,2026-03-16 12:30:00
txn_RzX_99091,INV-MD-55091,INSTANT_PAY,106200.0,0.015,1593.0,1062.0,103545.0,UTR-HDFC-8911,HDFC,SETTLED,2026-03-17 13:37:00
txn_RzX_99092,INV-MD-55092,INSTANT_PAY,200600.1,0.015,3009.0,2006.0,195585.1,UTR-ICICI-7802,ICICI,SETTLED,2026-03-18 14:44:00
txn_RzX_99093,INV-MD-55093,CREDIT_LINE,84960.2,0.015,1274.4,849.6,82836.2,UTR-HDFC-8913,HDFC,SETTLED,2026-03-19 15:51:00
txn_RzX_99094,INV-MD-55094,INSTANT_PAY,40119.9,0.015,601.8,401.2,39116.9,UTR-ICICI-7804,ICICI,SETTLED,2026-03-20 16:58:00
txn_RzX_99095,INV-MD-55095,INSTANT_PAY,82599.8,0.015,1239.0,826.0,80534.8,UTR-HDFC-8915,HDFC,SETTLED,2026-03-21 17:05:00
txn_RzX_99096,,CREDIT_LINE,88500.3,0.015,1327.5,885.0,86287.8,UTR-ICICI-7806,ICICI,SETTLED,2026-03-22 10:12:00
txn_RzX_99097,,INSTANT_PAY,56639.7,0.015,849.6,566.4,55223.7,UTR-HDFC-8917,HDFC,SETTLED,2026-03-23 11:19:00
txn_RzX_99098,,INSTANT_PAY,23184.0,0.015,347.76,231.84,22604.4,UTR-ICICI-7808,ICICI,SETTLED,2026-03-24 12:26:00
txn_RzX_99099,,CREDIT_LINE,9800.0,0.015,147.0,98.0,9555.0,UTR-HDFC-8919,HDFC,SETTLED,2026-03-25 13:33:00
txn_RzX_99100,,INSTANT_PAY,161280.0,0.015,2419.2,1612.8,157248.0,UTR-ICICI-7810,ICICI,SETTLED,2026-03-26 14:40:00
