order_id,platform,product,crates,unit_price,amount,date
BNN_1046,BigBasket,G9 Bananas (Crate),50,60.0,3000.0,2026-03-07
BNN_1047,Blinkit,Poovan Bananas (Box),60,75.0,4500.0,2026-03-08
BNN_1048,Flipkart,Rasthali Bananas (Box),75,95.0,7125.0,2026-03-09
BNN_1049,Zomato,Robusta Bananas (Crate),80,50.0,4000.0,2026-03-10
BNN_1050,BigBasket,Cavendish Bananas (Box),100,65.0,6500.0,2026-03-11
BNN_1051,Blinkit,Yellaki Bananas (Crate),35,90.0,3150.0,2026-03-12
BNN_1052,Flipkart,Red Bananas (Box),45,110.0,4950.0,2026-03-13
BNN_1053,Zomato,Nendran Bananas (Crate),55,85.0,4675.0,2026-03-14
BNN_1054,BigBasket,G9 Bananas (Crate),65,60.0,3900.0,2026-03-15
BNN_1055,Blinkit,Poovan Bananas (Box),70,75.0,5250.0,2026-03-16
BNN_1056,Flipkart,Rasthali Bananas (Box),85,95.0,8075.0,2026-03-17
BNN_1057,Zomato,Robusta Bananas (Crate),20,50.0,1000.0,2026-03-18
BNN_1058,BigBasket,Cavendish Bananas (Box),30,65.0,1950.0,2026-03-19
BNN_1059,Blinkit,Yellaki Bananas (Crate),40,90.0,3600.0,2026-03-20
BNN_1060,Flipkart,Red Bananas (Box),50,110.0,5500.0,2026-03-01
BNN_1061,Zomato,Nendran Bananas (Crate),60,85.0,5100.0,2026-03-02
BNN_1062,BigBasket,G9 Bananas (Crate),75,60.0,4500.0,2026-03-03
BNN_1063,Blinkit,Poovan Bananas (Box),80,75.0,6000.0,2026-03-04
BNN_1064,Flipkart,Rasthali Bananas (Box),100,95.0,9500.0,2026-03-05
BNN_1065,Zomato,Robusta Bananas (Crate),35,50.0,1750.0,2026-03-06
BNN_1066,BigBasket,Cavendish Bananas (Box),45,65.0,2925.0,2026-03-07
BNN_1067,Blinkit,Yellaki Bananas (Crate),55,90.0,4950.0,2026-03-08
BNN_1068,Flipkart,Red Bananas (Box),65,110.0,7150.0,2026-03-09
BNN_1069,Zomato,Nendran Bananas (Crate),70,85.0,5950.0,2026-03-10
BNN_1070,BigBasket,G9 Bananas (Crate),85,60.0,5100.0,2026-03-11
BNN_1071,Blinkit,Poovan Bananas (Box),20,75.0,1500.0,2026-03-12
BNN_1072,Flipkart,Rasthali Bananas (Box),30,95.0,2850.0,2026-03-13
BNN_1073,Zomato,Robusta Bananas (Crate),40,50.0,2000.0,2026-03-14
BNN_1074,BigBasket,Cavendish Bananas (Box),50,65.0,3250.0,2026-03-15
BNN_1075,Blinkit,Yellaki Bananas (Crate),60,90.0,5400.0,2026-03-16
BNN_1076,Flipkart,Red Bananas (Box),75,110.0,8250.0,2026-03-17
BNN_1077,Zomato,Nendran Bananas (Crate),80,85.0,6800.0,2026-03-18
BNN_1078,BigBasket,G9 Bananas (Crate),100,60.0,6000.0,2026-03-19
BNN_1079,Blinkit,Poovan Bananas (Box),35,75.0,2625.0,2026-03-20
BNN_1080,Flipkart,Rasthali Bananas (Box),45,95.0,4275.0,2026-03-01
BNN_1081,Zomato,Robusta Bananas (Crate),55,50.0,2750.0,2026-03-02
BNN_1082,BigBasket,Cavendish Bananas (Box),65,65.0,4225.0,2026-03-03
BNN_1083,Blinkit,Yellaki Bananas (Crate),70,90.0,6300.0,2026-03-04
BNN_1084,Flipkart,Red Bananas (Box),85,110.0,9350.0,2026-03-05
BNN_1085,Zomato,Nendran Bananas (Crate),20,85.0,1700.0,2026-03-06
BNN_1086,BigBasket,G9 Bananas (Crate),30,60.0,1800.0,2026-03-02
BNN_1087,Blinkit,Poovan Bananas (Box),40,75.0,3000.0,2026-03-02
BNN_1088,Flipkart,Rasthali Bananas (Box),50,95.0,4750.0,2026-03-02
BNN_1089,Zomato,Robusta Bananas (Crate),60,50.0,3000.0,2026-03-10
BNN_1090,BigBasket,Cavendish Bananas (Box),75,65.0,4875.0,2026-03-10
BNN_1091,Blinkit,Yellaki Bananas (Crate),80,90.0,7200.0,2026-03-10
BNN_1092,Flipkart,Red Bananas (Box),100,110.0,11000.0,2026-03-12
BNN_1093,Zomato,Nendran Bananas (Crate),35,85.0,2975.0,2026-03-12
BNN_1094,BigBasket,G9 Bananas (Crate),45,60.0,2700.0,2026-03-12
BNN_1015,Blinkit,Poovan Bananas (Box),20,75.0,1500.0,2026-03-15
BNN_1025,Zomato,Robusta Bananas (Crate),55,50.0,2750.0,2026-03-15
BNN_1035,Blinkit,Yellaki Bananas (Crate),80,90.0,7200.0,2026-03-15
BNN_1098,BigBasket,Cavendish Bananas (Box),85,65.0,5525.0,2026-03-18
BNN_1099,Blinkit,Yellaki Bananas (Crate),20,90.0,1800.0,2026-03-18
BNN_1100,Flipkart,Red Bananas (Box),30,110.0,3300.0,2026-03-18
