order_id,date,utr,bank,credit,debit,balance,narration
BNN_1038,2026-03-15,UTR_BNN_1038,ICICI Bank,2636.28,0.0,669454.22,CMS/RZP/UTR_BNN_1038/BNN_1038/BIGBASKET
BNN_1039,2026-03-16,UTR_BNN_1039,Axis Bank,4027.65,0.0,673481.87,CMS/RZP/UTR_BNN_1039/BNN_1039/BLINKIT
BNN_1040,2026-03-17,UTR_BNN_1040,Kotak Mahindra Bank,6029.27,0.0,679511.14,CMS/RZP/UTR_BNN_1040/BNN_1040/FLIPKART
BNN_1041,2026-03-18,UTR_BNN_1041,HDFC Bank,3417.4,0.0,682928.54,CMS/RZP/UTR_BNN_1041/BNN_1041/ZOMATO
BNN_1042,2026-03-19,UTR_BNN_1042,ICICI Bank,5394.61,0.0,688323.15,CMS/RZP/UTR_BNN_1042/BNN_1042/BIGBASKET
BNN_1043,2026-03-20,UTR_BNN_1043,Axis Bank,1757.52,0.0,690080.67,CMS/RZP/UTR_BNN_1043/BNN_1043/BLINKIT
BNN_1044,2026-03-21,UTR_BNN_1044,Kotak Mahindra Bank,3222.12,0.0,693302.79,CMS/RZP/UTR_BNN_1044/BNN_1044/FLIPKART
BNN_1045,2026-03-22,UTR_BNN_1045,HDFC Bank,3319.76,0.0,696622.55,CMS/RZP/UTR_BNN_1045/BNN_1045/ZOMATO
BNN_1046,2026-03-23,UTR_BNN_1046,ICICI Bank,2929.2,0.0,699551.75,CMS/RZP/UTR_BNN_1046/BNN_1046/BIGBASKET
BNN_1047,2026-03-24,UTR_BNN_1047,Axis Bank,4393.8,0.0,703945.55,CMS/RZP/UTR_BNN_1047/BNN_1047/BLINKIT
BNN_1048,2026-03-25,UTR_BNN_1048,Kotak Mahindra Bank,6956.85,0.0,710902.4,CMS/RZP/UTR_BNN_1048/BNN_1048/FLIPKART
BNN_1049,2026-03-26,UTR_BNN_1049,HDFC Bank,3905.6,0.0,714808.0,CMS/RZP/UTR_BNN_1049/BNN_1049/ZOMATO
BNN_1050,2026-03-02,UTR_BNN_1050,ICICI Bank,6346.6,0.0,721154.6,CMS/RZP/UTR_BNN_1050/BNN_1050/BIGBASKET
BNN_1051,2026-03-03,UTR_BNN_1051,Axis Bank,3075.66,0.0,724230.26,CMS/RZP/UTR_BNN_1051/BNN_1051/BLINKIT
BNN_1052,2026-03-04,UTR_BNN_1052,Kotak Mahindra Bank,4833.18,0.0,729063.44,CMS/RZP/UTR_BNN_1052/BNN_1052/FLIPKART
BNN_1053,2026-03-05,UTR_BNN_1053,HDFC Bank,4564.67,0.0,733628.11,CMS/RZP/UTR_BNN_1053/BNN_1053/ZOMATO
BNN_1054,2026-03-06,UTR_BNN_1054,ICICI Bank,3807.96,0.0,737436.07,CMS/RZP/UTR_BNN_1054/BNN_1054/BIGBASKET
BNN_1055,2026-03-07,UTR_BNN_1055,Axis Bank,5126.1,0.0,742562.17,CMS/RZP/UTR_BNN_1055/BNN_1055/BLINKIT
BNN_1056,2026-03-08,UTR_BNN_1056,Kotak Mahindra Bank,7884.43,0.0,750446.6,CMS/RZP/UTR_BNN_1056/BNN_1056/FLIPKART
BNN_1057,2026-03-09,UTR_BNN_1057,HDFC Bank,976.4,0.0,751423.0,CMS/RZP/UTR_BNN_1057/BNN_1057/ZOMATO
BNN_1058,2026-03-10,UTR_BNN_1058,ICICI Bank,1903.98,0.0,753326.98,CMS/RZP/UTR_BNN_1058/BNN_1058/BIGBASKET
BNN_1059,2026-03-11,UTR_BNN_1059,Axis Bank,3515.04,0.0,756842.02,CMS/RZP/UTR_BNN_1059/BNN_1059/BLINKIT
BNN_1060,2026-03-12,UTR_BNN_1060,Kotak Mahindra Bank,5370.2,0.0,762212.22,CMS/RZP/UTR_BNN_1060/BNN_1060/FLIPKART
BNN_1061,2026-03-13,UTR_BNN_1061,HDFC Bank,4979.64,0.0,767191.86,CMS/RZP/UTR_BNN_1061/BNN_1061/ZOMATO
BNN_1062,2026-03-14,UTR_BNN_1062,ICICI Bank,4393.8,0.0,771585.66,CMS/RZP/UTR_BNN_1062/BNN_1062/BIGBASKET
BNN_1063,2026-03-15,UTR_BNN_1063,Axis Bank,5858.4,0.0,777444.06,CMS/RZP/UTR_BNN_1063/BNN_1063/BLINKIT
BNN_1064,2026-03-16,UTR_BNN_1064,Kotak Mahindra Bank,9275.8,0.0,786719.86,CMS/RZP/UTR_BNN_1064/BNN_1064/FLIPKART
BNN_1065,2026-03-17,UTR_BNN_1065,HDFC Bank,1708.7,0.0,788428.56,CMS/RZP/UTR_BNN_1065/BNN_1065/ZOMATO
BNN_1066,2026-03-18,UTR_BNN_1066,ICICI Bank,2855.97,0.0,791284.53,CMS/RZP/UTR_BNN_1066/BNN_1066/BIGBASKET
BNN_1067,2026-03-19,UTR_BNN_1067,Axis Bank,4833.18,0.0,796117.71,CMS/RZP/UTR_BNN_1067/BNN_1067/BLINKIT
BNN_1068,2026-03-20,UTR_BNN_1068,Kotak Mahindra Bank,6981.26,0.0,803098.97,CMS/RZP/UTR_BNN_1068/BNN_1068/FLIPKART
BNN_1069,2026-03-21,UTR_BNN_1069,HDFC Bank,5809.58,0.0,808908.55,CMS/RZP/UTR_BNN_1069/BNN_1069/ZOMATO
BNN_1070,2026-03-22,UTR_BNN_1070,ICICI Bank,4979.64,0.0,813888.19,CMS/RZP/UTR_BNN_1070/BNN_1070/BIGBASKET
BNN_1071,2026-03-23,UTR_BNN_1071,Axis Bank,1464.6,0.0,815352.79,CMS/RZP/UTR_BNN_1071/BNN_1071/BLINKIT
BNN_1072,2026-03-24,UTR_BNN_1072,Kotak Mahindra Bank,2782.74,0.0,818135.53,CMS/RZP/UTR_BNN_1072/BNN_1072/FLIPKART
BNN_1073,2026-03-25,UTR_BNN_1073,HDFC Bank,1952.8,0.0,820088.33,CMS/RZP/UTR_BNN_1073/BNN_1073/ZOMATO
BNN_1074,2026-03-26,UTR_BNN_1074,ICICI Bank,3173.3,0.0,823261.63,CMS/RZP/UTR_BNN_1074/BNN_1074/BIGBASKET
BNN_1075,2026-03-02,UTR_BNN_1075,Axis Bank,5272.56,0.0,828534.19,CMS/RZP/UTR_BNN_1075/BNN_1075/BLINKIT
BNN_1076,2026-03-03,UTR_BNN_1076,Kotak Mahindra Bank,8055.3,0.0,836589.49,CMS/RZP/UTR_BNN_1076/BNN_1076/FLIPKART
BNN_1077,2026-03-04,UTR_BNN_1077,HDFC Bank,6639.52,0.0,843229.01,CMS/RZP/UTR_BNN_1077/BNN_1077/ZOMATO
BNN_1078,2026-03-05,UTR_BNN_1078,ICICI Bank,5858.4,0.0,849087.41,CMS/RZP/UTR_BNN_1078/BNN_1078/BIGBASKET
BNN_1079,2026-03-06,UTR_BNN_1079,Axis Bank,2563.05,0.0,851650.46,CMS/RZP/UTR_BNN_1079/BNN_1079/BLINKIT
BNN_1080,2026-03-07,UTR_BNN_1080,Kotak Mahindra Bank,4022.77,0.0,855673.23,CMS/RZP/UTR_BNN_1080/BNN_1080/FLIPKART
BNN_1081,2026-03-08,UTR_BNN_1081,HDFC Bank,2587.75,0.0,858260.98,CMS/RZP/UTR_BNN_1081/BNN_1081/ZOMATO
BNN_1082,2026-03-09,UTR_BNN_1082,ICICI Bank,3975.73,0.0,862236.71,CMS/RZP/UTR_BNN_1082/BNN_1082/BIGBASKET
BNN_1083,2026-03-10,UTR_BNN_1083,Axis Bank,5928.3,0.0,868165.01,CMS/RZP/UTR_BNN_1083/BNN_1083/BLINKIT
BNN_1084,2026-03-11,UTR_BNN_1084,Kotak Mahindra Bank,8798.35,0.0,876963.36,CMS/RZP/UTR_BNN_1084/BNN_1084/FLIPKART
BNN_1085,2026-03-12,UTR_BNN_1085,HDFC Bank,1599.7,0.0,878563.06,CMS/RZP/UTR_BNN_1085/BNN_1085/ZOMATO
BNN_1086,2026-03-13,UTR_BNN_1086,ICICI Bank,1693.8,0.0,880256.86,CMS/RZP/UTR_BNN_1086/BNN_1086/BIGBASKET
BNN_1087,2026-03-14,UTR_BNN_1087,Axis Bank,2823.0,0.0,883079.86,CMS/RZP/UTR_BNN_1087/BNN_1087/BLINKIT
BNN_1088,2026-03-15,UTR_BNN_1088,Kotak Mahindra Bank,4469.75,0.0,887549.61,CMS/RZP/UTR_BNN_1088/BNN_1088/FLIPKART
BNN_1089,2026-03-16,UTR_BNN_1089,HDFC Bank,2823.0,0.0,890372.61,CMS/RZP/UTR_BNN_1089/BNN_1089/ZOMATO
BNN_1090,2026-03-17,UTR_BNN_1090,ICICI Bank,4587.37,0.0,894959.98,CMS/RZP/UTR_BNN_1090/BNN_1090/BIGBASKET
