order_id,platform,product,crates,unit_price,amount,date
BNN_1057,Zomato,Robusta Bananas (Crate),20,50.00,1000.00,2026-03-04
BNN_1058,Flipkart,Cavendish Bananas (Box),30,65.00,1950.00,2026-03-05
BNN_1059,Zomato,Yellaki Bananas (Crate),40,90.00,3600.00,2026-03-06
BNN_1060,Flipkart,Red Bananas (Box),50,110.00,5500.00,2026-03-07
BNN_1061,Zomato,Nendran Bananas (Crate),60,85.00,5100.00,2026-03-08
BNN_1062,Flipkart,G9 Bananas (Crate),75,60.00,4500.00,2026-03-09
BNN_1063,Zomato,Poovan Bananas (Box),80,75.00,6000.00,2026-03-10
BNN_1064,Flipkart,Rasthali Bananas (Box),100,95.00,9500.00,2026-03-11
BNN_1065,Zomato,Robusta Bananas (Crate),35,50.00,1750.00,2026-03-12
BNN_1066,Flipkart,Cavendish Bananas (Box),45,65.00,2925.00,2026-03-13
BNN_1067,Zomato,Yellaki Bananas (Crate),55,90.00,4950.00,2026-03-14
BNN_1068,Flipkart,Red Bananas (Box),65,110.00,7150.00,2026-03-15
BNN_1069,Zomato,Nendran Bananas (Crate),70,85.00,5950.00,2026-03-16
BNN_1070,Flipkart,G9 Bananas (Crate),85,60.00,5100.00,2026-03-17
BNN_1061,Zomato,Nendran Bananas (Crate),60,85.00,5100.00,2026-03-08
BNN_1062,Flipkart,G9 Bananas (Crate),75,60.00,4500.00,2026-03-09
BNN_1063,Zomato,Poovan Bananas (Box),80,75.00,6000.00,2026-03-10
BNN_1064,Flipkart,Rasthali Bananas (Box),100,95.00,9500.00,2026-03-11
BNN_1065,Zomato,Robusta Bananas (Crate),35,50.00,1750.00,2026-03-12
BNN_1066,Flipkart,Cavendish Bananas (Box),45,65.00,2925.00,2026-03-13
BNN_1067,Zomato,Yellaki Bananas (Crate),55,90.00,4950.00,2026-03-14
BNN_1068,Flipkart,Red Bananas (Box),65,110.00,7150.00,2026-03-15
BNN_1069,Zomato,Nendran Bananas (Crate),70,85.00,5950.00,2026-03-16
BNN_1070,Flipkart,G9 Bananas (Crate),85,60.00,5100.00,2026-03-17
BNN_1071,Zomato,Poovan Bananas (Box),60,75.00,4500.00,2026-03-18
BNN_1072,Flipkart,Rasthali Bananas (Box),30,95.00,2850.00,2026-03-01
BNN_1073,Zomato,Robusta Bananas (Crate),60,50.00,3000.00,2026-03-02
BNN_1074,Flipkart,Cavendish Bananas (Box),50,65.00,3250.00,2026-03-03
BNN_1075,Zomato,Yellaki Bananas (Crate),60,90.00,5400.00,2026-03-04
BNN_1076,Flipkart,Red Bananas (Box),75,110.00,8250.00,2026-03-05
BNN_1077,Zomato,Nendran Bananas (Crate),80,85.00,6800.00,2026-03-06
BNN_1078,Flipkart,G9 Bananas (Crate),100,60.00,6000.00,2026-03-07
BNN_1079,Zomato,Poovan Bananas (Box),35,75.00,2625.00,2026-03-08
BNN_1080,Flipkart,Rasthali Bananas (Box),45,95.00,4275.00,2026-03-09
BNN_MISS_1081,Zomato,Robusta Bananas (Crate),55,50.00,2750.00,2026-03-10
BNN_MISS_1082,Flipkart,Cavendish Bananas (Box),65,65.00,4225.00,2026-03-11
BNN_MISS_1083,Zomato,Yellaki Bananas (Crate),70,90.00,6300.00,2026-03-12
BNN_MISS_1084,Flipkart,Red Bananas (Box),85,110.00,9350.00,2026-03-13
BNN_MISS_1085,Zomato,Nendran Bananas (Crate),20,85.00,1700.00,2026-03-14
BNN_MISS_1086,Flipkart,G9 Bananas (Crate),30,60.00,1800.00,2026-03-15
BNN_MISS_1087,Zomato,Poovan Bananas (Box),40,75.00,3000.00,2026-03-16
BNN_MISS_1088,Flipkart,Rasthali Bananas (Box),50,95.00,4750.00,2026-03-17
BNN_MISS_1089,Zomato,Robusta Bananas (Crate),60,50.00,3000.00,2026-03-18
BNN_MISS_1090,Flipkart,Cavendish Bananas (Box),75,65.00,4875.00,2026-03-01
