transaction_id,source_platform,order_id,payment_method,gross_amount,routing_bank,merchant_fee_collected,bank_gateway_charge,razorpay_net_profit,settlement_status,created_at
RZR_TXN_3023,Zomato,ZOM_1023,Debit Card,791.09,ICICI,9.33,4.67,4.66,SETTLED,2026-03-24
RZR_TXN_3024,Zomato,ZOM_1024,Credit Card,1393.39,HDFC,32.89,23.02,9.87,SETTLED,2026-03-25
RZR_TXN_3025,Zomato,ZOM_1025,NetBanking,1160.63,ICICI,0.0,0.0,0.0,FAILED_REVERSED,2026-03-01
RZR_TXN_3026,Zomato,ZOM_1026,NetBanking,1424.23,HDFC,25.2,15.13,10.07,SETTLED,2026-03-02
RZR_TXN_3027,Zomato,ZOM_1027,Credit Card,593.24,ICICI,13.99,8.4,5.59,SETTLED,2026-03-03
RZR_TXN_3028,Zomato,ZOM_1028,NetBanking,957.35,HDFC,16.94,10.17,6.77,SETTLED,2026-03-04
RZR_TXN_3029,Zomato,ZOM_1029,Credit Card,1398.1,ICICI,32.99,19.8,13.19,SETTLED,2026-03-05
RZR_TXN_3030,Zomato,ZOM_1030,UPI,1654.55,HDFC,3.91,1.56,2.35,SETTLED,2026-03-06
RZR_TXN_3031,Zomato,ZOM_1031,Credit Card,427.64,ICICI,10.09,6.05,4.04,SETTLED,2026-03-07
RZR_TXN_3032,Zomato,ZOM_1032,NetBanking,1409.82,HDFC,24.96,14.97,9.99,SETTLED,2026-03-08
RZR_TXN_3033,Zomato,ZOM_1033,NetBanking,1409.79,ICICI,24.96,13.31,11.65,SETTLED,2026-03-09
RZR_TXN_3034,Zomato,ZOM_1034,UPI,968.55,HDFC,2.29,0.91,1.38,SETTLED,2026-03-10
RZR_TXN_3035,Zomato,ZOM_1035,Debit Card,454.09,ICICI,5.36,2.68,0.0,REFUND_PROCESSED,2026-03-11
RZR_TXN_3036,Zomato,ZOM_1036,NetBanking,1155.58,HDFC,20.45,12.27,8.18,SETTLED,2026-03-12
RZR_TXN_3037,Zomato,ZOM_1037,Debit Card,602.69,ICICI,7.12,3.55,3.57,SETTLED,2026-03-13
RZR_TXN_3038,Zomato,ZOM_1038,UPI,605.38,HDFC,1.43,0.57,0.86,SETTLED,2026-03-14
RZR_TXN_3039,Zomato,ZOM_1039,Credit Card,962.08,ICICI,22.7,13.62,9.08,SETTLED,2026-03-15
RZR_TXN_3040,Zomato,ZOM_1040,Credit Card,598.7,HDFC,14.12,9.89,4.23,SETTLED,2026-03-16
RZR_TXN_3041,Zomato,ZOM_1041,NetBanking,279.95,ICICI,4.96,2.64,2.32,SETTLED,2026-03-17
RZR_TXN_3042,Zomato,ZOM_1042,Debit Card,255.59,HDFC,3.02,2.11,0.91,SETTLED,2026-03-18
RZR_TXN_3043,Zomato,ZOM_1043,Credit Card,931.97,ICICI,22.0,13.19,8.81,SETTLED,2026-03-19
RZR_TXN_3044,Zomato,ZOM_1044,NetBanking,424.28,HDFC,7.5,4.51,2.99,SETTLED,2026-03-20
RZR_TXN_3045,Zomato,ZOM_1045,Credit Card,468.9,ICICI,11.07,6.64,4.43,SETTLED,2026-03-21
RZR_TXN_3046,Zomato,ZOM_1046,Credit Card,612.99,HDFC,14.47,10.12,4.35,SETTLED,2026-03-22
RZR_TXN_3047,Zomato,ZOM_1047,NetBanking,946.38,ICICI,16.76,8.93,7.83,SETTLED,2026-03-23
RZR_TXN_3048,Zomato,ZOM_1048,Credit Card,796.45,HDFC,18.8,13.16,5.64,SETTLED,2026-03-24
RZR_TXN_3049,Zomato,ZOM_1049,Debit Card,939.95,ICICI,11.09,5.55,5.54,SETTLED,2026-03-25
RZR_TXN_3050,Zomato,ZOM_1050,NetBanking,1694.98,HDFC,30.0,18.0,12.0,SETTLED,2026-03-01
RZR_TXN_3051,Zomato,ZOM_1051,UPI,432.4,ICICI,1.01,0.26,0.75,SETTLED,2026-03-02
RZR_TXN_3052,Zomato,ZOM_1052,Credit Card,1151.05,HDFC,27.16,19.01,8.15,SETTLED,2026-03-03
RZR_TXN_3053,Zomato,ZOM_1053,UPI,750.36,ICICI,1.77,0.45,1.32,SETTLED,2026-03-04
RZR_TXN_3054,Zomato,ZOM_1054,UPI,753.37,HDFC,1.78,0.71,1.07,SETTLED,2026-03-05
RZR_TXN_3055,Zomato,ZOM_1055,Credit Card,1153.54,ICICI,27.22,16.33,10.89,SETTLED,2026-03-06
RZR_TXN_3056,Zomato,ZOM_1056,Credit Card,953.45,HDFC,22.5,15.75,6.75,SETTLED,2026-03-07
RZR_TXN_3057,Zomato,ZOM_1057,NetBanking,616.17,ICICI,10.9,5.82,5.08,SETTLED,2026-03-08
RZR_TXN_3058,Zomato,ZOM_1058,NetBanking,789.23,HDFC,13.97,8.38,5.59,SETTLED,2026-03-09
RZR_TXN_3059,Zomato,ZOM_1059,NetBanking,754.72,ICICI,13.36,7.13,6.23,SETTLED,2026-03-10
RZR_TXN_3060,Zomato,ZOM_1060,NetBanking,1171.18,HDFC,20.73,12.44,8.29,SETTLED,2026-03-11
RZR_TXN_3061,Flipkart,FLP_2001,UPI,13071.91,ICICI,30.85,7.72,23.13,SETTLED,2026-03-02
RZR_TXN_3062,Flipkart,FLP_2002,Debit Card,539.26,HDFC,6.36,4.45,1.91,SETTLED,2026-03-03
RZR_TXN_3063,Flipkart,FLP_2003,Credit Card,13085.17,ICICI,308.81,185.28,123.53,SETTLED,2026-03-04
RZR_TXN_3064,Flipkart,FLP_2004,NetBanking,918.02,HDFC,16.25,9.75,6.5,SETTLED,2026-03-05
RZR_TXN_3065,Flipkart,FLP_2005,Debit Card,941.19,ICICI,11.1,5.56,5.54,SETTLED,2026-03-06
RZR_TXN_3066,Flipkart,FLP_2006,UPI,3023.98,HDFC,7.14,2.86,4.28,SETTLED,2026-03-07
RZR_TXN_3067,Flipkart,FLP_2007,UPI,3079.8,ICICI,7.27,1.82,5.45,SETTLED,2026-03-08
RZR_TXN_3068,Flipkart,FLP_2008,UPI,564.21,HDFC,1.33,0.53,0.8,SETTLED,2026-03-09
RZR_TXN_3069,Flipkart,FLP_2009,Credit Card,591.64,ICICI,13.96,8.38,5.58,SETTLED,2026-03-10
RZR_TXN_3070,Flipkart,FLP_2010,NetBanking,939.64,HDFC,16.63,9.98,6.65,SETTLED,2026-03-11
RZR_TXN_3071,Flipkart,FLP_2011,UPI,985.47,ICICI,2.32,0.58,1.74,SETTLED,2026-03-12
RZR_TXN_3072,Flipkart,FLP_2012,NetBanking,936.9,HDFC,16.58,9.95,6.63,SETTLED,2026-03-13
RZR_TXN_3073,Flipkart,FLP_2013,NetBanking,1591.65,ICICI,28.17,15.02,13.15,SETTLED,2026-03-14
RZR_TXN_3074,Flipkart,FLP_2014,NetBanking,1541.3,HDFC,27.28,16.37,10.91,SETTLED,2026-03-15
RZR_TXN_3075,Flipkart,FLP_2015,Credit Card,917.99,ICICI,0.0,0.0,0.0,FAILED_REVERSED,2026-03-16
RZR_TXN_3076,Flipkart,FLP_2016,UPI,556.92,HDFC,1.31,0.53,0.78,SETTLED,2026-03-17
RZR_TXN_3077,Flipkart,FLP_2017,UPI,8530.36,ICICI,20.13,5.04,15.09,SETTLED,2026-03-18
RZR_TXN_3078,Flipkart,FLP_2018,Credit Card,5046.68,HDFC,119.1,83.37,35.73,SETTLED,2026-03-19
RZR_TXN_3079,Flipkart,FLP_2019,UPI,595.08,ICICI,1.4,0.35,1.05,SETTLED,2026-03-20
RZR_TXN_3080,Flipkart,FLP_2020,UPI,13017.58,HDFC,30.73,12.28,0.0,REFUND_PROCESSED,2026-03-21
RZR_TXN_3081,Flipkart,FLP_2021,NetBanking,8585.18,ICICI,151.96,81.04,70.92,SETTLED,2026-03-22
RZR_TXN_3082,Flipkart,FLP_2022,Credit Card,593.16,HDFC,13.99,9.79,4.2,SETTLED,2026-03-23
RZR_TXN_3083,Flipkart,FLP_2023,UPI,5058.45,ICICI,11.94,2.99,8.95,SETTLED,2026-03-24
RZR_TXN_3084,Flipkart,FLP_2024,Debit Card,3064.74,HDFC,36.17,25.31,10.86,SETTLED,2026-03-25
RZR_TXN_3085,Flipkart,FLP_2025,Debit Card,1519.43,ICICI,17.92,8.97,8.95,SETTLED,2026-03-01
RZR_TXN_3086,Flipkart,FLP_2026,Credit Card,925.56,HDFC,21.84,15.29,6.55,SETTLED,2026-03-02
RZR_TXN_3087,Flipkart,FLP_2027,NetBanking,8563.55,ICICI,151.57,80.84,70.73,SETTLED,2026-03-03
RZR_TXN_3088,Flipkart,FLP_2028,UPI,1591.9,HDFC,3.75,1.5,2.25,SETTLED,2026-03-04
RZR_TXN_3089,Flipkart,FLP_2029,UPI,544.83,ICICI,1.29,0.32,0.97,SETTLED,2026-03-05
RZR_TXN_3090,Flipkart,FLP_2030,Debit Card,552.76,HDFC,6.53,4.57,1.96,SETTLED,2026-03-06
RZR_TXN_3091,Flipkart,FLP_2031,UPI,992.33,ICICI,2.34,0.59,1.75,SETTLED,2026-03-07
RZR_TXN_3092,Flipkart,FLP_2032,Credit Card,935.95,HDFC,22.09,15.46,6.63,SETTLED,2026-03-08
RZR_TXN_3093,Flipkart,FLP_2033,Debit Card,3082.37,ICICI,36.37,18.18,18.19,SETTLED,2026-03-09
RZR_TXN_3094,Flipkart,FLP_2034,UPI,5097.39,HDFC,12.02,4.81,7.21,SETTLED,2026-03-10
RZR_TXN_3095,Flipkart,FLP_2035,Debit Card,8580.71,ICICI,101.26,50.62,50.64,SETTLED,2026-03-11
RZR_TXN_3096,Flipkart,FLP_2036,Credit Card,8509.36,HDFC,200.82,140.57,60.25,SETTLED,2026-03-12
RZR_TXN_3097,Flipkart,FLP_2037,UPI,1510.54,ICICI,3.56,0.9,2.66,SETTLED,2026-03-13
RZR_TXN_3098,Flipkart,FLP_2038,Debit Card,8554.32,HDFC,100.94,70.66,30.28,SETTLED,2026-03-14
RZR_TXN_3099,Flipkart,FLP_2039,Debit Card,1559.48,ICICI,18.4,9.2,9.2,SETTLED,2026-03-15
RZR_TXN_3100,Flipkart,FLP_2040,Debit Card,967.75,HDFC,11.42,7.99,3.43,SETTLED,2026-03-16
RZR_TXN_3101,Flipkart,FLP_2041,UPI,5047.85,ICICI,11.92,2.97,8.95,SETTLED,2026-03-17
RZR_TXN_3102,Flipkart,FLP_2042,Debit Card,562.43,HDFC,6.63,4.65,1.98,SETTLED,2026-03-18
RZR_TXN_3103,Flipkart,FLP_2043,Credit Card,499.35,ICICI,11.79,7.07,4.72,SETTLED,2026-03-19
RZR_TXN_3104,Flipkart,FLP_2044,Credit Card,8596.98,HDFC,202.89,142.02,60.87,SETTLED,2026-03-20
RZR_TXN_3105,Flipkart,FLP_2045,NetBanking,8543.18,ICICI,151.22,80.65,70.57,SETTLED,2026-03-21
RZR_TXN_3106,Flipkart,FLP_2046,UPI,4999.97,HDFC,11.8,4.72,7.08,SETTLED,2026-03-22
RZR_TXN_3107,Flipkart,FLP_2047,UPI,8589.39,ICICI,20.27,5.06,15.21,SETTLED,2026-03-23
RZR_TXN_3108,Flipkart,FLP_2048,Credit Card,13035.92,HDFC,307.65,215.35,92.3,SETTLED,2026-03-24
RZR_TXN_3109,Flipkart,FLP_2049,Debit Card,3011.74,ICICI,35.54,17.77,17.77,SETTLED,2026-03-25
RZR_TXN_3110,Flipkart,FLP_2050,UPI,1588.9,HDFC,3.75,1.5,2.25,SETTLED,2026-03-01
RZR_TXN_3111,Flipkart,FLP_2051,Credit Card,1520.01,ICICI,35.87,21.52,14.35,SETTLED,2026-03-02
RZR_TXN_3112,Flipkart,FLP_2052,NetBanking,8509.28,HDFC,150.62,90.36,60.26,SETTLED,2026-03-03
RZR_TXN_3113,Flipkart,FLP_2053,Credit Card,5073.95,ICICI,119.75,71.85,47.9,SETTLED,2026-03-04
RZR_TXN_3114,Flipkart,FLP_2054,Credit Card,13015.25,HDFC,307.17,215.01,92.16,SETTLED,2026-03-05
RZR_TXN_3115,Flipkart,FLP_2055,Debit Card,3001.48,ICICI,35.41,17.71,17.7,SETTLED,2026-03-06
RZR_TXN_3116,Flipkart,FLP_2056,Credit Card,13092.08,HDFC,308.97,216.28,92.69,SETTLED,2026-03-07
RZR_TXN_3117,Flipkart,FLP_2057,UPI,1514.92,ICICI,3.58,0.9,2.68,SETTLED,2026-03-08
RZR_TXN_3118,Flipkart,FLP_2058,NetBanking,3086.22,HDFC,54.62,32.78,21.84,SETTLED,2026-03-09
RZR_TXN_3119,Flipkart,FLP_2059,NetBanking,918.96,ICICI,16.26,8.67,7.59,SETTLED,2026-03-10
RZR_TXN_3120,Flipkart,FLP_2060,Credit Card,1529.52,HDFC,36.1,25.26,10.84,SETTLED,2026-03-11
